,CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
47,12394,64,2,1272.48,3,2,3,323,Others,0
48,12395,19,15,4721.17,4,4,4,444,Champion,0
49,12396,674,1,931.43,1,1,3,113,Lost Customer,1
50,12397,36,2,2409.9,3,2,4,324,Big Spender,0
51,12398,46,1,1635.66,3,1,3,313,Others,0
52,12399,119,7,1962.3,2,3,3,233,At Risk,0
53,12400,414,1,205.25,1,1,1,111,Lost Customer,1
54,12401,303,1,84.3,2,1,1,211,Lost Customer,1
55,12402,323,6,1256.9,2,3,3,233,At Risk,1
56,12403,50,2,1019.36,3,2,3,323,Others,0
57,12404,682,1,63.24,1,1,1,111,Lost Customer,1
58,12405,149,1,1710.39,2,1,3,213,Lost Customer,0
59,12406,22,5,6390.36,4,3,4,434,Loyal Customer,0
60,12407,50,5,1708.12,3,3,3,333,Loyal Customer,0
61,12408,33,8,4340.77,3,4,4,344,Loyal Customer,0
62,12409,79,7,23419.29,3,3,4,334,Loyal Customer,0
63,12410,309,3,1013.71,2,2,3,223,Lost Customer,1
64,12411,410,1,346.9,1,1,2,112,Lost Customer,1
65,12412,75,6,2596.93,3,3,4,334,Loyal Customer,0
66,12413,67,4,999.45,3,3,3,333,Loyal Customer,0
67,12414,217,6,952.41,2,3,3,233,At Risk,0
68,12415,24,28,144458.37,4,4,4,444,Champion,3
69,12416,657,1,202.56,1,1,1,111,Lost Customer,1
70,12417,3,20,6797.41,4,4,4,444,Champion,0
71,12418,113,4,2021.2,2,3,3,233,At Risk,0
72,12419,386,2,503.01,1,2,2,122,Lost Customer,1
73,12420,64,1,600.39,3,1,2,312,Others,0
74,12421,16,6,1098.6,4,3,3,433,Loyal Customer,0
75,12422,96,17,5231.8,3,4,4,344,Loyal Customer,0
76,12423,1,10,2622.39,4,4,4,444,Champion,0
77,12424,163,4,3340.03,2,3,4,234,Big Spender,0
78,12425,78,2,1741.41,3,2,3,323,Others,0
79,12426,195,2,1345.21,2,2,3,223,Lost Customer,0
80,12427,22,3,825.8000000000001,4,2,2,422,Others,0
81,12428,26,9,7956.46,4,4,4,444,Champion,0
82,12429,9,8,6204.41,4,4,4,444,Champion,0
83,12430,43,1,256.4,3,1,1,311,Others,0
84,12431,36,27,10432.22,3,4,4,344,Loyal Customer,0
85,12432,43,5,5059.32,3,3,4,334,Loyal Customer,0
86,12433,1,10,16794.14,4,4,4,444,Champion,0
87,12434,85,3,1103.43,3,2,3,323,Others,0
88,12435,80,6,13925.93,3,3,4,334,Loyal Customer,0
89,12436,100,1,509.01,2,1,2,212,Lost Customer,0
90,12437,2,39,12683.4,4,4,4,444,Champion,0
91,12438,14,2,2906.85,4,2,4,424,Big Spender,0
92,12439,683,2,1142.88,1,2,3,123,Lost Customer,1
93,12440,462,2,859.2,1,2,2,122,Lost Customer,1
94,12441,367,1,173.55,2,1,1,211,Lost Customer,1
95,12442,3,1,172.06,4,1,1,411,Others,0
96,12443,732,1,485.31,1,1,2,112,Lost Customer,1
97,12444,21,5,5005.46,4,3,4,434,Loyal Customer,0
98,12445,22,2,434.98,4,2,2,422,Others,0
99,12446,58,1,1002.31,3,1,3,313,Others,0
100,12447,243,1,476.49,2,1,2,212,Lost Customer,0
101,12448,44,1,449.45,3,1,2,312,Others,0
102,12449,22,6,4835.89,4,3,4,434,Loyal Customer,0
103,12450,156,5,688.2,2,3,2,232,At Risk,0
104,12451,11,8,12669.88,4,4,4,444,Champion,0
105,12452,17,2,430.5700000000001,4,2,2,422,Others,0
106,12453,134,1,707.09,2,1,2,212,Lost Customer,0
107,12454,56,5,16679.78,3,3,4,334,Loyal Customer,0
108,12455,73,10,5879.95,3,4,4,344,Loyal Customer,0
109,12456,44,3,3181.04,3,2,4,324,Big Spender,0
110,12457,66,8,2995.91,3,4,4,344,Loyal Customer,0
111,12458,71,4,1777.49,3,3,3,333,Loyal Customer,0
112,12459,605,1,454.36,1,1,2,112,Lost Customer,1
113,12460,456,1,326.65,1,1,1,111,Lost Customer,1
114,12461,94,2,826.88,3,2,2,322,Others,0
115,12462,19,2,1189.59,4,2,3,423,Others,0
116,12463,53,4,1344.78,3,3,3,333,Loyal Customer,0
117,12464,10,8,1212.05,4,4,3,443,Loyal Customer,0
118,12465,17,2,742.19,4,2,2,422,Others,0
119,12466,682,1,56.73,1,1,1,111,Lost Customer,1
120,12467,423,1,132.8,1,1,1,111,Lost Customer,1
121,12468,188,5,3670.74,2,3,4,234,Big Spender,0
122,12469,523,2,3070.54,1,2,4,124,Big Spender,1
123,12470,690,1,211.95,1,1,1,111,Lost Customer,1
124,12471,2,79,39918.19,4,4,4,444,Champion,3
125,12472,32,19,16249.29,3,4,4,344,Loyal Customer,0
126,12473,29,5,3928.05,3,3,4,334,Loyal Customer,0
127,12474,17,31,12372.75,4,4,4,444,Champion,0
128,12475,54,2,1149.64,3,2,3,323,Others,0
129,12476,16,23,14083.91,4,4,4,444,Champion,0
130,12477,23,9,20276.37,4,4,4,444,Champion,0
131,12478,4,1,680.99,4,1,2,412,Others,0
132,12479,11,1,527.2,4,1,2,412,Others,0
133,12480,28,7,5464.85,3,3,4,334,Loyal Customer,0
134,12481,23,15,12185.51,4,4,4,444,Champion,0
135,12482,576,29,23691.4,1,4,4,144,Big Spender,1
136,12483,17,19,5097.18,4,4,4,444,Champion,0
137,12484,33,12,6354.1,3,4,4,344,Loyal Customer,0
138,12485,529,1,708.1,1,1,2,112,Lost Customer,1
139,12486,432,1,1037.28,1,1,3,113,Lost Customer,1
140,12487,731,1,285.3,1,1,1,111,Lost Customer,1
141,12488,10,3,1298.66,4,2,3,423,Others,0
142,12489,336,1,334.93,2,1,1,211,Lost Customer,1
143,12490,5,21,9823.64,4,4,4,444,Champion,0
144,12491,39,1,460.4,3,1,2,312,Others,0
145,12492,63,3,715.21,3,2,2,322,Others,0
146,12493,166,2,433.74,2,2,2,222,Lost Customer,0
147,12494,16,9,1815.27,4,4,3,443,Loyal Customer,0
148,12495,641,1,357.4,1,1,2,112,Lost Customer,1
149,12496,620,2,45.34,1,2,1,121,Lost Customer,1
150,12497,82,3,6248.5,3,2,4,324,Big Spender,0
151,12498,21,3,403.7000000000001,4,2,2,422,Others,0
152,12499,560,1,393.72,1,1,2,112,Lost Customer,1
153,12500,23,19,5955.21,4,4,4,444,Champion,0
154,12501,337,1,2169.39,2,1,3,213,Lost Customer,1
155,12502,96,5,3723.87,3,3,4,334,Loyal Customer,0
156,12503,584,1,1126.0,1,1,3,113,Lost Customer,1
157,12504,18,4,779.05,4,3,2,432,Loyal Customer,0
158,12505,409,1,955.2,1,1,3,113,Lost Customer,1
159,12506,233,1,73.5,2,1,1,211,Lost Customer,0
160,12507,134,4,1844.06,2,3,3,233,At Risk,0
161,12508,26,2,397.88,4,2,2,422,Others,0
162,12509,284,1,176.5,2,1,1,211,Lost Customer,1
163,12510,143,9,5178.02,2,4,4,244,Big Spender,0
164,12511,429,1,3084.02,1,1,4,114,Big Spender,1
165,12512,66,2,132.18,3,2,1,321,Others,0
166,12513,113,1,612.29,2,1,2,212,Lost Customer,0
167,12514,267,2,1597.76,2,2,3,223,Lost Customer,1
168,12515,353,1,383.7,2,1,2,212,Lost Customer,1
169,12516,78,4,2648.62,3,3,4,334,Loyal Customer,0
170,12517,28,5,2481.6,3,3,4,334,Loyal Customer,0
171,12518,1,5,2056.89,4,3,3,433,Loyal Customer,0
172,12519,64,2,716.54,3,2,2,322,Others,0
173,12520,79,5,2634.26,3,3,4,334,Loyal Customer,0
174,12521,143,1,599.68,2,1,2,212,Lost Customer,0
175,12522,39,2,192.72,3,2,1,321,Others,0
176,12523,19,23,4352.35,4,4,4,444,Champion,0
177,12524,9,17,11126.11,4,4,4,444,Champion,0
178,12525,498,3,973.73,1,2,3,123,Lost Customer,1
179,12526,1,3,1316.66,4,2,3,423,Others,0
180,12527,82,5,735.51,3,3,2,332,Loyal Customer,0
181,12528,9,6,1933.48,4,3,3,433,Loyal Customer,0
182,12529,528,1,316.48,1,1,1,111,Lost Customer,1
183,12530,60,9,3759.26,3,4,4,344,Loyal Customer,0
184,12531,15,2,1933.2,4,2,3,423,Others,0
185,12532,30,1,349.83000000000004,3,1,2,312,Others,0
186,12533,628,2,1367.89,1,2,3,123,Lost Customer,1
187,12534,131,1,1089.18,2,1,3,213,Lost Customer,0
188,12535,92,2,716.35,3,2,2,322,Others,0
189,12536,43,3,12601.830000000002,3,2,4,324,Big Spender,0
190,12537,409,1,732.94,1,1,2,112,Lost Customer,1
191,12538,29,2,640.45,3,2,2,322,Others,0
192,12539,22,7,11214.75,4,3,4,434,Loyal Customer,0
193,12540,20,33,22254.49,4,4,4,444,Champion,0
194,12541,30,3,981.18,3,2,3,323,Others,0
195,12542,484,2,481.88,1,2,2,122,Lost Customer,1
196,12543,448,1,980.25,1,1,3,113,Lost Customer,1
197,12544,36,1,372.7,3,1,2,312,Others,0
198,12545,75,2,1000.39,3,2,3,323,Others,0
199,12546,47,2,1161.5,3,2,3,323,Others,0
200,12547,198,3,383.58,2,2,2,222,Lost Customer,0
201,12548,166,1,95.2,2,1,1,211,Lost Customer,0
202,12549,576,6,1575.68,1,3,3,133,At Risk,1
203,12550,79,1,964.83,3,1,3,313,Others,0
204,12551,358,1,168.0,2,1,1,211,Lost Customer,1
205,12552,39,2,437.82,3,2,2,322,Others,0
206,12553,8,12,4608.75,4,4,4,444,Champion,0
207,12554,449,1,468.5,1,1,2,112,Lost Customer,1
208,12555,682,1,129.23,1,1,1,111,Lost Customer,1
209,12556,50,2,599.56,3,2,2,322,Others,0
210,12557,16,8,18096.14,4,4,4,444,Champion,0
211,12558,8,1,269.96,4,1,1,411,Others,0
212,12559,311,2,561.71,2,2,2,222,Lost Customer,1
213,12560,5,3,2134.01,4,2,3,423,Others,0
214,12561,303,1,238.85,2,1,1,211,Lost Customer,1
215,12562,8,9,4966.92,4,4,4,444,Champion,0
216,12563,409,1,249.24,1,1,1,111,Lost Customer,1
217,12564,261,1,456.9,2,1,2,212,Lost Customer,1
218,12565,289,1,145.92000000000002,2,1,1,211,Lost Customer,1
219,12566,86,1,351.65,3,1,2,312,Others,0
220,12567,23,15,11767.48,4,4,4,444,Champion,0
221,12568,645,1,70.0,1,1,1,111,Lost Customer,1
222,12569,2,32,4124.6900000000005,4,4,4,444,Champion,0
223,12570,682,1,77.52,1,1,1,111,Lost Customer,1
224,12571,40,2,519.61,3,2,2,322,Others,0
225,12572,9,2,1020.42,4,2,3,423,Others,0
226,12573,227,5,717.41,2,3,2,232,At Risk,0
227,12574,316,1,218.45,2,1,1,211,Lost Customer,1
228,12575,457,2,622.82,1,2,2,122,Lost Customer,1
229,12576,36,8,2142.7200000000003,3,4,3,343,Loyal Customer,0
230,12577,35,8,1617.1,3,4,3,343,Loyal Customer,0
231,12578,21,4,4642.45,4,3,4,434,Loyal Customer,0
232,12579,78,1,440.42,3,1,2,312,Others,0
233,12580,247,2,1052.9,2,2,3,223,Lost Customer,0
234,12581,40,1,197.71,3,1,1,311,Others,0
235,12582,239,4,1980.4,2,3,3,233,At Risk,0
236,12583,3,27,13591.58,4,4,4,444,Champion,0
237,12584,4,9,2338.15,4,4,4,444,Champion,0
238,12585,234,2,2040.1,2,2,3,223,Lost Customer,0
239,12586,17,4,2062.67,4,3,3,433,Loyal Customer,0
240,12587,8,1,144.0,4,1,1,411,Others,0
241,12588,39,4,958.78,3,3,3,333,Loyal Customer,0
242,12589,29,8,4695.66,3,4,4,344,Loyal Customer,0
243,12590,211,2,9864.26,2,2,4,224,Big Spender,0
244,12591,317,3,1338.95,2,2,3,223,Lost Customer,1
245,12592,92,5,2582.66,3,3,4,334,Loyal Customer,0
246,12593,109,3,418.1,2,2,2,222,Lost Customer,0
247,12594,38,15,5090.110000000001,3,4,4,344,Loyal Customer,0
248,12595,505,1,299.02,1,1,1,111,Lost Customer,1
249,12596,51,2,618.27,3,2,2,322,Others,0
250,12597,19,4,3811.22,4,3,4,434,Loyal Customer,0
251,12598,10,11,4534.09,4,4,4,444,Champion,0
252,12599,29,13,2296.72,3,4,4,344,Loyal Customer,0
253,12600,29,21,4967.42,3,4,4,344,Loyal Customer,0
254,12601,190,6,681.26,2,3,2,232,At Risk,0
255,12602,59,1,153.12,3,1,1,311,Others,0
256,12603,22,1,739.1999999999999,4,1,2,412,Others,0
257,12604,79,2,254.18,3,2,1,321,Others,0
258,12605,376,4,1232.95,2,3,3,233,At Risk,1
259,12606,682,1,21.0,1,1,1,111,Lost Customer,1
260,12607,60,1,1579.51,3,1,3,313,Others,0
261,12608,405,1,415.79,1,1,2,112,Lost Customer,1
262,12609,78,9,3435.86,3,4,4,344,Loyal Customer,0
263,12610,23,5,2099.54,4,3,3,433,Loyal Customer,0
264,12611,52,1,1193.32,3,1,3,313,Others,0
265,12612,74,1,704.04,3,1,2,312,Others,0
266,12613,57,10,6817.37,3,4,4,344,Loyal Customer,0
267,12614,278,1,315.6,2,1,1,211,Lost Customer,1
268,12615,2,8,5740.9800000000005,4,4,4,444,Champion,0
269,12616,95,3,1131.1,3,2,3,323,Others,0
270,12617,29,1,352.98,3,1,2,312,Others,0
271,12618,22,1,177.31,4,1,1,411,Others,0
272,12619,16,10,3781.38,4,4,4,444,Champion,0
273,12620,15,3,1339.41,4,2,3,423,Others,0
274,12621,2,35,24311.2,4,4,4,444,Champion,0
275,12622,232,1,180.1,2,1,1,211,Lost Customer,0
276,12623,276,7,3747.84,2,3,4,234,Big Spender,1
277,12624,106,2,641.13,2,2,2,222,Lost Customer,0
278,12625,212,4,5164.88,2,3,4,234,Big Spender,0
279,12626,23,9,6620.4800000000005,4,4,4,444,Champion,0
280,12627,11,7,4478.53,4,3,4,434,Loyal Customer,0
281,12628,4,3,786.46,4,2,2,422,Others,0
282,12629,386,2,1558.22,1,2,3,123,Lost Customer,1
283,12630,10,2,1270.88,4,2,3,423,Others,0
284,12631,57,6,3481.57,3,3,4,334,Loyal Customer,0
285,12632,521,2,804.88,1,2,2,122,Lost Customer,1
286,12633,59,7,5678.16,3,3,4,334,Loyal Customer,0
287,12634,536,2,490.0,1,2,2,122,Lost Customer,1
288,12635,90,4,2930.41,3,3,4,334,Loyal Customer,0
289,12636,739,1,141.0,1,1,1,111,Lost Customer,1
290,12637,67,12,8283.81,3,4,4,344,Loyal Customer,0
291,12638,33,2,921.49,3,2,3,323,Others,0
292,12639,239,3,1312.37,2,2,3,223,Lost Customer,0
293,12640,24,3,1174.58,4,2,3,423,Others,0
294,12641,115,1,185.9,2,1,1,211,Lost Customer,0
295,12642,25,3,1013.26,4,2,3,423,Others,0
296,12643,128,12,8304.82,2,4,4,244,Big Spender,0
297,12644,130,4,1918.49,2,3,3,233,At Risk,0
298,12645,34,8,3539.3,3,4,4,344,Loyal Customer,0
299,12646,5,2,1346.97,4,2,3,423,Others,0
300,12647,22,36,16955.55,4,4,4,444,Champion,0
301,12648,155,4,1112.0,2,3,3,233,At Risk,0
302,12649,107,8,2294.65,2,4,4,244,Big Spender,0
303,12650,3,1,314.44,4,1,1,411,Others,0
304,12651,335,4,377.75,2,3,2,232,At Risk,1
305,12652,331,2,1017.03,2,2,3,223,Lost Customer,1
306,12653,149,3,4160.83,2,2,4,224,Big Spender,0
307,12654,11,5,601.98,4,3,2,432,Loyal Customer,0
308,12655,424,1,261.35,1,1,1,111,Lost Customer,1
309,12656,17,8,6407.83,4,4,4,444,Champion,0
310,12657,11,4,1643.18,4,3,3,433,Loyal Customer,0
311,12658,19,1,686.05,4,1,2,412,Others,0
312,12659,30,1,91.68,3,1,1,311,Others,0
313,12660,11,1,245.1,4,1,1,411,Others,0
314,12661,436,1,162.0,1,1,1,111,Lost Customer,1
315,12662,1,20,6726.54,4,4,4,444,Champion,0
316,12663,625,2,239.4,1,2,1,121,Lost Customer,1
317,12664,8,11,6070.04,4,4,4,444,Champion,0
318,12665,325,3,313.6,2,2,1,221,Lost Customer,1
319,12666,394,1,1248.42,1,1,3,113,Lost Customer,1
320,12667,58,1,620.13,3,1,2,312,Others,0
321,12668,12,10,11383.03,4,4,4,444,Champion,0
322,12669,151,3,2744.03,2,2,4,224,Big Spender,0
323,12670,10,7,3760.29,4,3,4,434,Loyal Customer,0
324,12671,606,1,2622.481,1,1,4,114,Big Spender,1
325,12672,330,2,437.05,2,2,2,222,Lost Customer,1
326,12673,5,3,1230.02,4,2,3,423,Others,0
327,12674,39,4,1970.6,3,3,3,333,Loyal Customer,0
328,12675,554,2,957.25,1,2,3,123,Lost Customer,1
329,12676,25,11,2843.09,4,4,4,444,Champion,0
330,12677,555,2,395.1,1,2,2,122,Lost Customer,1
331,12678,42,21,34281.18,3,4,4,344,Loyal Customer,0
332,12679,59,4,1113.02,3,3,3,333,Loyal Customer,0
333,12680,1,4,880.81,4,3,3,433,Loyal Customer,0
334,12681,15,45,29834.76,4,4,4,444,Champion,0
335,12682,4,52,22950.22,4,4,4,444,Champion,0
336,12683,4,21,11633.7,4,4,4,444,Champion,0
337,12684,8,7,2283.63,4,3,4,434,Loyal Customer,0
338,12685,28,6,2863.08,3,3,4,334,Loyal Customer,0
339,12686,372,1,89.14,2,1,1,211,Lost Customer,1
340,12687,481,2,2138.91,1,2,3,123,Lost Customer,1
341,12688,114,1,4873.81,2,1,4,214,Big Spender,0
342,12689,26,2,1247.61,4,2,3,423,Others,0
343,12690,206,1,389.01,2,1,2,212,Lost Customer,0
344,12691,28,7,1170.4,3,3,3,333,Loyal Customer,0
345,12692,637,1,110.95,1,1,1,111,Lost Customer,1
346,12693,127,7,1703.02,2,3,3,233,At Risk,0
347,12694,70,3,1843.35,3,2,3,323,Others,0
348,12695,7,7,1407.12,4,3,3,433,Loyal Customer,0
349,12696,435,2,851.91,1,2,2,122,Lost Customer,1
350,12697,29,3,957.59,3,2,3,323,Others,0
351,12698,590,1,339.75,1,1,1,111,Lost Customer,1
352,12699,418,1,638.11,1,1,2,112,Lost Customer,1
353,12700,8,4,4939.99,4,3,4,434,Loyal Customer,0
354,12701,80,6,2446.41,3,3,4,334,Loyal Customer,0
355,12702,20,1,219.0,4,1,1,411,Others,0
356,12703,71,4,1006.53,3,3,3,333,Loyal Customer,0
357,12704,7,8,2340.84,4,4,4,444,Champion,0
358,12705,15,14,11762.1,4,4,4,444,Champion,0
359,12707,292,1,603.42,2,1,2,212,Lost Customer,1
360,12708,30,18,5117.66,3,4,4,344,Loyal Customer,0
361,12709,15,34,30291.76,4,4,4,444,Champion,0
362,12710,97,3,1149.02,2,2,3,223,Lost Customer,0
363,12711,612,2,1339.05,1,2,3,123,Lost Customer,1
364,12712,29,21,6723.03,3,4,4,344,Loyal Customer,0
365,12713,1,1,848.55,4,1,2,412,Others,0
366,12714,9,12,14093.71,4,4,4,444,Champion,0
367,12715,106,1,343.36,2,1,2,212,Lost Customer,0
368,12716,4,2,1053.49,4,2,3,423,Others,0
369,12717,151,3,1308.91,2,2,3,223,Lost Customer,0
370,12718,71,1,238.25,3,1,1,311,Others,0
371,12719,5,2,644.95,4,2,2,422,Others,0
372,12720,3,30,7787.28,4,4,4,444,Champion,0
373,12721,32,8,4013.08,3,4,4,344,Loyal Customer,0
374,12722,85,4,997.63,3,3,3,333,Loyal Customer,0
375,12723,4,5,725.07,4,3,2,432,Loyal Customer,0
376,12724,5,7,2317.52,4,3,4,434,Loyal Customer,0
377,12725,371,4,2266.76,2,3,4,234,Big Spender,1
378,12726,28,11,4014.6,3,4,4,344,Loyal Customer,0
379,12727,11,10,5679.53,4,4,4,444,Champion,0
380,12728,71,5,1070.17,3,3,3,333,Loyal Customer,0
381,12729,114,1,453.01,2,1,2,212,Lost Customer,0
382,12730,522,1,829.25,1,1,2,112,Lost Customer,1
383,12731,24,17,25775.71,4,4,4,444,Champion,0
384,12732,180,1,236.26,2,1,1,211,Lost Customer,0
385,12733,234,4,2424.87,2,3,4,234,Big Spender,0
386,12734,353,3,639.65,2,2,2,222,Lost Customer,1
387,12735,315,2,779.5699999999999,2,2,2,222,Lost Customer,1
388,12736,333,1,234.0,2,1,1,211,Lost Customer,1
389,12737,499,2,3710.5,1,2,4,124,Big Spender,1
390,12738,372,1,155.35,2,1,1,211,Lost Customer,1
391,12739,78,4,2726.73,3,3,4,334,Loyal Customer,0
392,12740,64,1,427.6,3,1,2,312,Others,0
393,12741,529,2,406.07,1,2,2,122,Lost Customer,1
394,12742,626,1,1201.52,1,1,3,113,Lost Customer,1
395,12743,134,2,540.13,2,2,2,222,Lost Customer,0
396,12744,52,11,25317.06,3,4,4,344,Loyal Customer,0
397,12745,487,3,925.41,1,2,3,123,Lost Customer,1
398,12746,541,1,254.55,1,1,1,111,Lost Customer,1
399,12747,2,26,8898.48,4,4,4,444,Champion,0
400,12748,1,336,53539.64,4,4,4,444,Champion,3
401,12749,4,9,6897.36,4,4,4,444,Champion,0
402,12750,129,1,275.88,2,1,1,211,Lost Customer,0
403,12751,445,1,268.27,1,1,1,111,Lost Customer,1
404,12752,81,1,4366.78,3,1,4,314,Big Spender,0
405,12753,23,6,21429.39,4,3,4,434,Loyal Customer,0
406,12754,236,3,3010.74,2,2,4,224,Big Spender,0
407,12755,281,11,5236.26,2,4,4,244,Big Spender,0
408,12756,87,1,112.08,3,1,1,311,Others,0
409,12757,16,13,7834.650000000001,4,4,4,444,Champion,0
410,12758,117,7,9903.24,2,3,4,234,Big Spender,0
411,12759,52,8,5020.74,3,4,4,344,Loyal Customer,0
412,12760,456,1,347.8,1,1,2,112,Lost Customer,1
413,12761,458,2,782.95,1,2,2,122,Lost Customer,1
414,12762,8,2,1898.52,4,2,3,423,Others,0
415,12763,138,2,494.08,2,2,2,222,Lost Customer,0
416,12764,317,1,1693.88,2,1,3,213,Lost Customer,1
417,12765,472,6,1404.58,1,3,3,133,At Risk,1
418,12766,4,9,8918.99,4,4,4,444,Champion,0
419,12767,376,1,949.82,2,1,3,213,Lost Customer,1
420,12768,451,1,168.69,1,1,1,111,Lost Customer,1
421,12769,239,1,1143.6,2,1,3,213,Lost Customer,0
422,12770,211,2,3246.45,2,2,4,224,Big Spender,0
423,12771,486,1,282.3,1,1,1,111,Lost Customer,1
424,12772,60,1,892.47,3,1,3,313,Others,0
425,12773,564,1,124.25,1,1,1,111,Lost Customer,1
426,12774,536,1,98.7,1,1,1,111,Lost Customer,1
427,12775,17,7,1686.12,4,3,3,433,Loyal Customer,0
428,12776,668,1,55.5,1,1,1,111,Lost Customer,1
429,12777,458,1,519.45,1,1,2,112,Lost Customer,1
430,12778,20,9,1775.68,4,4,3,443,Loyal Customer,0
431,12779,38,14,6474.11,3,4,4,344,Loyal Customer,0
432,12780,599,1,337.4,1,1,1,111,Lost Customer,1
433,12781,64,2,826.74,3,2,2,322,Others,0
434,12782,5,11,4618.24,4,4,4,444,Champion,0
435,12783,2,6,2225.91,4,3,3,433,Loyal Customer,0
436,12784,9,3,1763.15,4,2,3,423,Others,0
437,12785,364,3,1100.4,2,2,3,223,Lost Customer,1
438,12786,610,1,728.5000000000001,1,1,2,112,Lost Customer,1
439,12787,10,4,862.1800000000001,4,3,2,432,Loyal Customer,0
440,12788,463,4,444.9,1,3,2,132,At Risk,1
441,12789,65,3,273.35,3,2,1,321,Others,0
442,12790,192,2,591.85,2,2,2,222,Lost Customer,0
443,12791,374,6,863.51,2,3,2,232,At Risk,1
444,12792,257,2,827.01,2,2,2,222,Lost Customer,1
445,12793,335,3,885.53,2,2,3,223,Lost Customer,1
446,12794,53,2,860.41,3,2,2,322,Others,0
447,12795,19,1,430.48,4,1,2,412,Others,0
448,12796,628,1,381.0,1,1,2,112,Lost Customer,1
449,12797,366,2,552.08,2,2,2,222,Lost Customer,1
450,12798,10,4,8510.93,4,3,4,434,Loyal Customer,0
451,12799,529,1,219.35,1,1,1,111,Lost Customer,1
452,12800,470,3,584.25,1,2,2,122,Lost Customer,1
453,12801,501,1,1071.82,1,1,3,113,Lost Customer,1
454,12802,187,7,2416.42,2,3,4,234,Big Spender,0
455,12803,393,1,1092.81,1,1,3,113,Lost Customer,1
456,12804,466,2,325.37,1,2,1,121,Lost Customer,1
457,12805,382,4,1434.95,1,3,3,133,At Risk,1
458,12806,435,4,2878.96,1,3,4,134,Big Spender,1
459,12807,383,1,330.35,1,1,1,111,Lost Customer,1
460,12808,37,5,776.7,3,3,2,332,Loyal Customer,0
461,12809,178,3,1755.94,2,2,3,223,Lost Customer,0
462,12810,535,2,534.99,1,2,2,122,Lost Customer,1
463,12811,261,5,1033.9,2,3,3,233,At Risk,0
464,12812,45,1,229.64,3,1,1,311,Others,0
465,12813,502,3,1687.8,1,2,3,123,Lost Customer,1
466,12814,102,1,125.92,2,1,1,211,Lost Customer,0
467,12815,148,2,1063.46,2,2,3,223,Lost Customer,0
468,12816,96,2,572.2,3,2,2,322,Others,0
